| time |  in  |loadL|loadH|   out    |
| 20   | 1000 |  1  |  0  | 00001000 |
| 20+  | 1110 |  0  |  0  | 00001000 |
| 21   | 1110 |  0  |  0  | 00001000 |
| 21+  | 1110 |  1  |  0  | 00001000 |
| 22   | 1110 |  1  |  0  | 00001110 |
| 22+  | 1101 |  0  |  0  | 00001110 |
| 23   | 1101 |  0  |  0  | 00001110 |
| 23+  | 1101 |  1  |  0  | 00001110 |
| 24   | 1101 |  1  |  0  | 00001101 |
| 24+  | 1011 |  0  |  0  | 00001101 |
| 25   | 1011 |  0  |  0  | 00001101 |
| 25+  | 1011 |  1  |  0  | 00001101 |
| 26   | 1011 |  1  |  0  | 00001011 |
| 26+  | 0111 |  0  |  0  | 00001011 |
| 27   | 0111 |  0  |  0  | 00001011 |
| 27+  | 0111 |  1  |  0  | 00001011 |
| 28   | 0111 |  1  |  0  | 00000111 |
| 28+  | 1111 |  0  |  0  | 00000111 |
| 29   | 1111 |  0  |  0  | 00000111 |
| 29+  | 1111 |  1  |  0  | 00000111 |
| 30   | 1111 |  1  |  0  | 00001111 |
| 30+  | 0000 |  1  |  1  | 00001111 |
| 31   | 0000 |  1  |  1  | 00000000 |
| 31+  | 0000 |  0  |  0  | 00000000 |
| 32   | 0000 |  0  |  0  | 00000000 |
| 32+  | 0000 |  0  |  0  | 00000000 |
| 33   | 0000 |  0  |  0  | 00000000 |
| 33+  | 0000 |  0  |  1  | 00000000 |
| 34   | 0000 |  0  |  1  | 00000000 |
| 34+  | 1000 |  0  |  0  | 00000000 |
| 35   | 1000 |  0  |  0  | 00000000 |
| 35+  | 1011 |  0  |  0  | 00000000 |
| 36   | 1011 |  0  |  0  | 00000000 |
| 36+  | 1000 |  0  |  1  | 00000000 |
| 37   | 1000 |  0  |  1  | 10000000 |
| 37+  | 1000 |  0  |  1  | 10000000 |
| 38   | 1000 |  0  |  1  | 10000000 |
| 38+  | 1000 |  0  |  0  | 10000000 |
| 39   | 1000 |  0  |  0  | 10000000 |
| 39+  | 1010 |  0  |  1  | 10000000 |
| 40   | 1010 |  0  |  1  | 10100000 |
| 40+  | 0000 |  0  |  0  | 10100000 |
| 41   | 0000 |  0  |  0  | 10100000 |
| 41+  | 0000 |  0  |  1  | 10100000 |
| 42   | 0000 |  0  |  1  | 00000000 |
| 42+  | 0001 |  0  |  0  | 00000000 |
| 43   | 0001 |  0  |  0  | 00000000 |
| 43+  | 0001 |  0  |  1  | 00000000 |
| 44   | 0001 |  0  |  1  | 00010000 |
| 44+  | 0010 |  0  |  0  | 00010000 |
| 45   | 0010 |  0  |  0  | 00010000 |
| 45+  | 0010 |  0  |  1  | 00010000 |
| 46   | 0010 |  0  |  1  | 00100000 |
| 46+  | 0100 |  0  |  0  | 00100000 |
| 47   | 0100 |  0  |  0  | 00100000 |
| 47+  | 0100 |  0  |  1  | 00100000 |
| 48   | 0100 |  0  |  1  | 01000000 |
| 48+  | 1000 |  0  |  0  | 01000000 |
| 49   | 1000 |  0  |  0  | 01000000 |
| 49+  | 1000 |  0  |  1  | 01000000 |
| 50   | 1000 |  0  |  1  | 10000000 |
| 50+  | 1110 |  0  |  0  | 10000000 |
| 51   | 1110 |  0  |  0  | 10000000 |
| 51+  | 1110 |  0  |  1  | 10000000 |
| 52   | 1110 |  0  |  1  | 11100000 |
| 52+  | 1101 |  0  |  0  | 11100000 |
| 53   | 1101 |  0  |  0  | 11100000 |
| 53+  | 1101 |  0  |  1  | 11100000 |
| 54   | 1101 |  0  |  1  | 11010000 |
| 54+  | 1011 |  0  |  0  | 11010000 |
| 55   | 1011 |  0  |  0  | 11010000 |
| 55+  | 1011 |  0  |  1  | 11010000 |
| 56   | 1011 |  0  |  1  | 10110000 |
| 56+  | 0111 |  0  |  0  | 10110000 |
| 57   | 0111 |  0  |  0  | 10110000 |
| 57+  | 0111 |  0  |  1  | 10110000 |
| 58   | 0111 |  0  |  1  | 01110000 |
| 58+  | 1111 |  0  |  0  | 01110000 |
| 59   | 1111 |  0  |  0  | 01110000 |
| 59+  | 1111 |  0  |  1  | 01110000 |
| 60   | 1111 |  0  |  1  | 11110000 |
| 60+  | 0000 |  1  |  1  | 11110000 |
| 61   | 0000 |  1  |  1  | 00000000 |
| 61+  | 1111 |  0  |  1  | 00000000 |
| 62   | 1111 |  0  |  1  | 11110000 |
| 62+  | 0000 |  0  |  0  | 11110000 |
| 63   | 0000 |  0  |  0  | 11110000 |
| 63+  | 0000 |  0  |  0  | 11110000 |
| 64   | 0000 |  0  |  0  | 11110000 |
| 64+  | 0000 |  1  |  0  | 11110000 |
| 65   | 0000 |  1  |  0  | 11110000 |
| 65+  | 1000 |  0  |  0  | 11110000 |
| 66   | 1000 |  0  |  0  | 11110000 |
| 66+  | 1011 |  0  |  0  | 11110000 |
| 67   | 1011 |  0  |  0  | 11110000 |
| 67+  | 1000 |  1  |  0  | 11110000 |
| 68   | 1000 |  1  |  0  | 11111000 |
| 68+  | 1000 |  1  |  0  | 11111000 |
| 69   | 1000 |  1  |  0  | 11111000 |
| 69+  | 1000 |  0  |  0  | 11111000 |
| 70   | 1000 |  0  |  0  | 11111000 |
| 70+  | 1010 |  1  |  0  | 11111000 |
| 71   | 1010 |  1  |  0  | 11111010 |
| 71+  | 0000 |  0  |  0  | 11111010 |
| 72   | 0000 |  0  |  0  | 11111010 |
| 72+  | 0000 |  1  |  0  | 11111010 |
| 73   | 0000 |  1  |  0  | 11110000 |
| 73+  | 0001 |  0  |  0  | 11110000 |
| 74   | 0001 |  0  |  0  | 11110000 |
| 74+  | 0001 |  1  |  0  | 11110000 |
| 75   | 0001 |  1  |  0  | 11110001 |
| 75+  | 0010 |  0  |  0  | 11110001 |
| 76   | 0010 |  0  |  0  | 11110001 |
| 76+  | 0010 |  1  |  0  | 11110001 |
| 77   | 0010 |  1  |  0  | 11110010 |
| 77+  | 0100 |  0  |  0  | 11110010 |
| 78   | 0100 |  0  |  0  | 11110010 |
| 78+  | 0100 |  1  |  0  | 11110010 |
| 79   | 0100 |  1  |  0  | 11110100 |
| 79+  | 1000 |  0  |  0  | 11110100 |
| 80   | 1000 |  0  |  0  | 11110100 |
| 80+  | 1000 |  1  |  0  | 11110100 |
| 81   | 1000 |  1  |  0  | 11111000 |
| 81+  | 1110 |  0  |  0  | 11111000 |
| 82   | 1110 |  0  |  0  | 11111000 |
| 82+  | 1110 |  1  |  0  | 11111000 |
| 83   | 1110 |  1  |  0  | 11111110 |
| 83+  | 1101 |  0  |  0  | 11111110 |
| 84   | 1101 |  0  |  0  | 11111110 |
| 84+  | 1101 |  1  |  0  | 11111110 |
| 85   | 1101 |  1  |  0  | 11111101 |
| 85+  | 1011 |  0  |  0  | 11111101 |
| 86   | 1011 |  0  |  0  | 11111101 |
| 86+  | 1011 |  1  |  0  | 11111101 |
| 87   | 1011 |  1  |  0  | 11111011 |
| 87+  | 0111 |  0  |  0  | 11111011 |
| 88   | 0111 |  0  |  0  | 11111011 |
| 88+  | 0111 |  1  |  0  | 11111011 |
| 89   | 0111 |  1  |  0  | 11110111 |
| 89+  | 1111 |  0  |  0  | 11110111 |
| 90   | 1111 |  0  |  0  | 11110111 |
| 90+  | 1111 |  1  |  0  | 11110111 |
| 91   | 1111 |  1  |  0  | 11111111 |
| 91+  | 0000 |  1  |  1  | 11111111 |
| 92   | 0000 |  1  |  1  | 00000000 |
| 92+  | 1111 |  1  |  0  | 00000000 |
| 93   | 1111 |  1  |  0  | 00001111 |
| 93+  | 0000 |  0  |  0  | 00001111 |
| 94   | 0000 |  0  |  0  | 00001111 |
| 94+  | 0000 |  0  |  0  | 00001111 |
| 95   | 0000 |  0  |  0  | 00001111 |
| 95+  | 0000 |  0  |  1  | 00001111 |
| 96   | 0000 |  0  |  1  | 00001111 |
| 96+  | 1000 |  0  |  0  | 00001111 |
| 97   | 1000 |  0  |  0  | 00001111 |
| 97+  | 1011 |  0  |  0  | 00001111 |
| 98   | 1011 |  0  |  0  | 00001111 |
| 98+  | 1000 |  0  |  1  | 00001111 |
| 99   | 1000 |  0  |  1  | 10001111 |
| 99+  | 1000 |  0  |  1  | 10001111 |
| 100  | 1000 |  0  |  1  | 10001111 |
| 100+ | 1000 |  0  |  0  | 10001111 |
| 101  | 1000 |  0  |  0  | 10001111 |
| 101+ | 1010 |  0  |  1  | 10001111 |
| 102  | 1010 |  0  |  1  | 10101111 |
| 102+ | 0000 |  0  |  0  | 10101111 |
| 103  | 0000 |  0  |  0  | 10101111 |
| 103+ | 0000 |  0  |  1  | 10101111 |
| 104  | 0000 |  0  |  1  | 00001111 |
| 104+ | 0001 |  0  |  0  | 00001111 |
| 105  | 0001 |  0  |  0  | 00001111 |
| 105+ | 0001 |  0  |  1  | 00001111 |
| 106  | 0001 |  0  |  1  | 00011111 |
| 106+ | 0010 |  0  |  0  | 00011111 |
| 107  | 0010 |  0  |  0  | 00011111 |
| 107+ | 0010 |  0  |  1  | 00011111 |
| 108  | 0010 |  0  |  1  | 00101111 |
| 108+ | 0100 |  0  |  0  | 00101111 |
| 109  | 0100 |  0  |  0  | 00101111 |
| 109+ | 0100 |  0  |  1  | 00101111 |
| 110  | 0100 |  0  |  1  | 01001111 |
| 110+ | 1000 |  0  |  0  | 01001111 |
| 111  | 1000 |  0  |  0  | 01001111 |
| 111+ | 1000 |  0  |  1  | 01001111 |
| 112  | 1000 |  0  |  1  | 10001111 |
| 112+ | 1110 |  0  |  0  | 10001111 |
| 113  | 1110 |  0  |  0  | 10001111 |
| 113+ | 1110 |  0  |  1  | 10001111 |
| 114  | 1110 |  0  |  1  | 11101111 |
| 114+ | 1101 |  0  |  0  | 11101111 |
| 115  | 1101 |  0  |  0  | 11101111 |
| 115+ | 1101 |  0  |  1  | 11101111 |
| 116  | 1101 |  0  |  1  | 11011111 |
| 116+ | 1011 |  0  |  0  | 11011111 |
| 117  | 1011 |  0  |  0  | 11011111 |
| 117+ | 1011 |  0  |  1  | 11011111 |
| 118  | 1011 |  0  |  1  | 10111111 |
| 118+ | 0111 |  0  |  0  | 10111111 |
| 119  | 0111 |  0  |  0  | 10111111 |
| 119+ | 0111 |  0  |  1  | 10111111 |
| 120  | 0111 |  0  |  1  | 01111111 |
| 120+ | 1111 |  0  |  0  | 01111111 |
| 121  | 1111 |  0  |  0  | 01111111 |
| 121+ | 1111 |  0  |  1  | 01111111 |
| 122  | 1111 |  0  |  1  | 11111111 |
